site_no,station_name,river_segment,display_order,observed_discharge_cfs,observed_stage_ft,specific_conductance_us_cm,estimated_tds_mg_l,latest_observed_at,observation_stale,missing_required_parameters,forecast_available,forecast_category,forecast_peak_stage_ft,forecast_peak_stage_time,forecast_peak_flow_cfs,forecast_peak_flow_time,quality_status,alert_score
08194500,Nueces River near Tilden,Middle Nueces,20,,,,,,False,00060;00065,False,not_defined,,,,,unknown,10
08211500,Nueces River at Calallen,Lower Nueces / saltwater barrier,60,0.0,2.64,,,2026-07-19T20:30:00Z,False,00095,False,not_defined,,,,,unknown,5
